datetime,temp,total_rides,precip
2025-06-26,85.9,1032601.0,0.002
2025-06-27,83.3,959779.0,0.001
2025-06-28,77.3,764926.0,0.0
2025-06-29,83.2,639360.0,0.048
2025-06-30,82.5,911202.0,0.0
2025-07-01,79.9,1053386.0,0.0
2025-07-02,81.8,1017215.0,0.0
2025-07-03,83.1,978728.0,0.0
2025-07-04,82.6,593687.0,0.089
2025-07-05,86.1,704274.0,0.0
2025-07-06,78.4,558860.0,0.522
2025-07-07,73.3,931750.0,0.0
2025-07-08,76.4,1001024.0,0.06
2025-07-09,74.3,1016955.0,0.002
2025-07-10,75.6,1030546.0,0.23
2025-07-11,80.0,927438.0,1.122
2025-07-12,77.6,752756.0,0.031
2025-07-13,76.7,596593.0,0.0
2025-07-14,77.7,928910.0,0.0
2025-07-15,82.3,1018584.0,0.0
2025-07-16,80.7,995098.0,0.235
2025-07-17,69.9,1033378.0,0.0
2025-07-18,71.6,1019793.0,0.0
2025-07-19,78.4,749181.0,0.172
2025-07-20,73.3,622152.0,0.034
2025-07-21,75.1,940119.0,0.0
2025-07-22,79.4,1061030.0,0.0
2025-07-23,84.1,1037419.0,0.0
2025-07-24,82.9,953011.0,0.245
2025-07-25,78.1,918825.0,2.477
2025-07-26,78.2,761417.0,0.108
2025-07-27,81.6,605792.0,0.003
2025-07-28,83.8,885631.0,0.007
2025-07-29,84.0,1003729.0,0.0
2025-07-30,77.5,1003815.0,0.143
2025-07-31,72.2,1110087.0,0.011
2025-08-01,71.0,1110978.0,0.0
2025-08-02,71.1,895219.0,0.0
2025-08-03,72.6,717388.0,0.0
2025-08-04,75.4,985293.0,0.0
2025-08-05,76.3,1058781.0,0.0
2025-08-06,78.5,1056453.0,0.0
2025-08-07,83.1,1035165.0,0.0
2025-08-08,84.5,966158.0,0.0
2025-08-09,85.3,767179.0,0.0
2025-08-10,84.1,612405.0,0.012
2025-08-11,81.9,920836.0,0.188
2025-08-12,77.1,944116.0,0.193
2025-08-13,77.1,1037956.0,0.0
2025-08-14,76.5,1027755.0,0.0
2025-08-15,81.7,1010171.0,0.0
2025-08-16,82.9,789758.0,0.049
2025-08-17,76.3,654776.0,1.197
2025-08-18,77.0,926055.0,0.404
2025-08-19,75.4,1081670.0,0.055
2025-08-20,72.7,1102216.0,0.0
2025-08-21,72.1,1110168.0,0.0
2025-08-22,74.0,1012071.0,0.0
2025-08-23,75.0,759772.0,0.0
2025-08-24,67.4,600679.0,0.0
2025-08-25,63.6,1016288.0,0.0
2025-08-26,65.1,1111805.0,0.0
2025-08-27,67.0,1126843.0,0.0
2025-08-28,68.3,1162957.0,0.36
2025-08-29,64.8,1106380.0,0.0
2025-08-30,67.3,823224.0,0.0
2025-08-31,66.8,703551.0,0.0
2025-09-01,68.8,638632.0,0.0
2025-09-02,69.9,1120849.0,0.0
2025-09-03,66.5,1131052.0,0.047
2025-09-04,59.1,1139832.0,0.0
2025-09-05,62.4,1088392.0,0.0
2025-09-06,58.5,795056.0,0.0
2025-09-07,58.8,626339.0,0.0
2025-09-08,62.0,1046923.0,0.0
2025-09-09,65.7,1125529.0,0.0
2025-09-10,72.2,1142181.0,0.0
2025-09-11,71.4,1137553.0,0.0
2025-09-12,73.2,1072555.0,0.0
2025-09-13,71.9,713765.0,0.191
2025-09-14,74.0,601665.0,0.0
2025-09-15,74.2,1051597.0,0.0
2025-09-16,73.3,1136955.0,0.0
2025-09-17,72.9,1151955.0,0.0
2025-09-18,74.0,1159134.0,0.0
2025-09-19,77.8,1095995.0,0.0
2025-09-20,72.9,769544.0,0.105
2025-09-21,73.3,615493.0,0.07
2025-09-22,74.4,1046065.0,0.0
2025-09-23,70.6,1122056.0,0.106
2025-09-24,68.4,1162061.0,0.0
2025-09-25,66.9,1174382.0,0.0
2025-09-26,70.6,1032934.0,0.0
2025-09-27,75.1,786591.0,0.0
2025-09-28,71.7,601677.0,0.0
2025-09-29,74.4,1024117.0,0.0
2025-09-30,72.8,1142832.0,0.0
2025-10-01,70.5,1176777.0,0.0
2025-10-02,70.6,1140580.0,0.0
2025-10-03,76.8,1056801.0,0.0
2025-10-04,77.2,757475.0,0.0
2025-10-05,75.5,586492.0,0.0
2025-10-06,73.8,1013130.0,0.082
2025-10-07,62.0,1079755.0,1.178
2025-10-08,56.8,1168817.0,0.0
2025-10-09,55.4,1185412.0,0.0
2025-10-10,58.2,1096878.0,0.003
2025-10-11,59.8,825840.0,0.0
2025-10-12,59.2,825926.0,0.0
2025-10-13,62.4,892664.0,0.0
2025-10-14,63.0,1137325.0,0.0
2025-10-15,58.9,1105838.0,0.168
2025-10-16,61.5,1142726.0,0.0
2025-10-17,64.9,1043959.0,0.0
2025-10-18,67.7,827892.0,0.375
2025-10-19,54.3,555284.0,0.671
2025-10-20,54.0,1024396.0,0.0
2025-10-21,49.8,1082012.0,0.053
2025-10-22,47.9,1082456.0,0.0
2025-10-23,45.6,1098437.0,0.0
2025-10-24,43.7,1002404.0,0.0
2025-10-25,47.1,683877.0,0.0
2025-10-26,52.9,540295.0,0.0
2025-10-27,52.0,947431.0,0.0
2025-10-28,52.6,1102616.0,0.0
2025-10-29,52.0,1112291.0,0.0
2025-10-30,48.6,1121353.0,0.0
2025-10-31,46.8,1033896.0,0.016
